Date,Open,High,Low,Close
2023-10-26,1.2136,1.2162,1.2107,1.2137
2023-10-30,1.2113,1.2166,1.2093,1.2114
2023-10-31,1.2165,1.2199,1.212,1.2166
2023-11-01,1.2151,1.2165,1.2098,1.2152
2023-11-02,1.2184,1.2224,1.2156,1.2182
2023-11-03,1.2191,1.2375,1.2185,1.2192
2023-11-06,1.2372,1.2429,1.2367,1.2374
2023-11-07,1.2344,1.2348,1.2277,1.2346
2023-11-08,1.229,1.2301,1.2243,1.2292
2023-11-09,1.2286,1.2309,1.2254,1.2285
2023-11-10,1.2216,1.2238,1.2189,1.2217
2023-11-13,1.223,1.2272,1.2225,1.2228
2023-11-14,1.228,1.2488,1.2265,1.2281
2023-11-15,1.2494,1.2499,1.2406,1.2495
2023-11-16,1.2424,1.2455,1.2378,1.2422
2023-11-17,1.2416,1.2442,1.2376,1.2415
2023-11-20,1.2454,1.251,1.2447,1.2455
2023-11-21,1.2509,1.2558,1.2506,1.2509
2023-11-22,1.2545,1.2549,1.2449,1.2544
2023-11-23,1.2491,1.2563,1.249,1.249
2023-11-24,1.2533,1.2617,1.2525,1.2534
2023-11-27,1.2601,1.2644,1.2592,1.26
2023-11-28,1.2636,1.2714,1.2608,1.2634
2023-11-29,1.2713,1.2733,1.2666,1.2712
2023-11-30,1.2696,1.271,1.2606,1.2696
2023-12-01,1.2632,1.269,1.2616,1.2632
2023-12-04,1.2712,1.2713,1.2606,1.2713
2023-12-05,1.2634,1.2651,1.2583,1.2634
2023-12-06,1.2595,1.2614,1.2582,1.2594
2023-12-07,1.2558,1.2594,1.2545,1.2559
2023-12-08,1.2588,1.2601,1.2505,1.259
2023-12-11,1.2557,1.2591,1.2536,1.2555
2023-12-12,1.2554,1.2608,1.2519,1.2555
2023-12-13,1.257,1.2571,1.2506,1.2571
2023-12-14,1.2622,1.2779,1.2614,1.2623
2023-12-15,1.2771,1.2791,1.2686,1.2771
2023-12-18,1.2673,1.2704,1.2631,1.2672
2023-12-19,1.2653,1.2761,1.265,1.2652
2023-12-20,1.2731,1.2731,1.2633,1.2733
2023-12-21,1.2641,1.2692,1.2615,1.2641
2023-12-22,1.2686,1.2745,1.2681,1.2685
2023-12-25,1.2677,1.2747,1.2677,1.2677
2023-12-26,1.2705,1.2719,1.2686,1.2705
2023-12-27,1.2728,1.2801,1.2701,1.2727
2023-12-28,1.2802,1.2827,1.274,1.2801
2023-12-29,1.2735,1.2773,1.2703,1.2734
2024-01-01,1.273,1.2733,1.2694,1.273
2024-01-02,1.2728,1.2761,1.2612,1.2729
2024-01-03,1.2624,1.2652,1.2618,1.2623
2024-01-04,1.2675,1.2728,1.2658,1.2674
2024-01-05,1.2682,1.277,1.2613,1.2684
2024-01-08,1.2717,1.2765,1.2675,1.2718
2024-01-09,1.2742,1.2765,1.2692,1.2745
2024-01-10,1.2715,1.2742,1.2687,1.2713
2024-01-11,1.2745,1.2775,1.2691,1.2745
2024-01-12,1.278,1.2785,1.2721,1.2778
2024-01-15,1.2736,1.274,1.2714,1.2737
2024-01-16,1.2717,1.2717,1.2621,1.2716
2024-01-17,1.2639,1.2696,1.2597,1.2639
2024-01-18,1.2678,1.2705,1.2651,1.2677
2024-01-19,1.2712,1.2716,1.2663,1.271
2024-01-22,1.2701,1.2731,1.2688,1.27
2024-01-23,1.2708,1.2747,1.2655,1.2707
2024-01-24,1.2694,1.2774,1.2687,1.2692
2024-01-25,1.2718,1.2742,1.2693,1.2719
2024-01-26,1.2707,1.2758,1.2677,1.2708
2024-01-29,1.2697,1.2719,1.2663,1.2698
2024-01-30,1.2714,1.2721,1.2643,1.2713
2024-01-31,1.2695,1.2749,1.2668,1.2696
2024-02-01,1.2681,1.2725,1.2626,1.2678
2024-02-02,1.2747,1.2773,1.2624,1.2747
2024-02-05,1.2617,1.263,1.252,1.2622
2024-02-06,1.2534,1.2595,1.2534,1.2534
2024-02-07,1.2604,1.2642,1.2598,1.2607
2024-02-08,1.2628,1.2639,1.2575,1.2627
2024-02-09,1.2621,1.2642,1.2601,1.2621
2024-02-12,1.2639,1.2654,1.2607,1.2637
2024-02-13,1.2628,1.2683,1.2578,1.2628
2024-02-14,1.2591,1.2611,1.2537,1.2591
2024-02-15,1.2568,1.2597,1.2543,1.2568
2024-02-16,1.2599,1.2602,1.2554,1.2599
2024-02-19,1.2611,1.263,1.2583,1.2611
2024-02-20,1.2588,1.2667,1.258,1.2588
2024-02-21,1.2626,1.2638,1.2604,1.2627
2024-02-22,1.2639,1.271,1.2613,1.2638
2024-02-23,1.2661,1.2702,1.265,1.2664
2024-02-26,1.2671,1.27,1.2657,1.2673
2024-02-27,1.2685,1.2697,1.2662,1.2685
2024-02-28,1.2681,1.2684,1.2625,1.2682
2024-02-29,1.2662,1.2682,1.2629,1.2663
2024-03-01,1.2627,1.2656,1.2601,1.2625
2024-03-04,1.2661,1.2707,1.2657,1.266
2024-03-05,1.269,1.2734,1.2673,1.2692
2024-03-06,1.2705,1.2761,1.269,1.2705
2024-03-07,1.2736,1.2799,1.2724,1.2735
2024-03-08,1.2814,1.2891,1.2802,1.2816
2024-03-11,1.2856,1.2862,1.2796,1.2855
2024-03-12,1.2819,1.2825,1.2748,1.282
2024-03-13,1.2797,1.2809,1.2776,1.2796
2024-03-14,1.2802,1.2823,1.2731,1.2802
2024-03-15,1.2746,1.2759,1.2731,1.2746
2024-03-18,1.2732,1.2749,1.2723,1.2731
2024-03-19,1.2727,1.2729,1.267,1.2727
2024-03-20,1.2718,1.273,1.2685,1.2719
2024-03-21,1.2798,1.2804,1.266,1.2798
2024-03-22,1.2661,1.2676,1.2577,1.2662
2024-03-25,1.2598,1.2652,1.2593,1.2598
2024-03-26,1.2637,1.2668,1.2626,1.2638
2024-03-27,1.2628,1.2639,1.2606,1.2628
2024-03-28,1.2617,1.265,1.2587,1.2617
2024-03-29,1.2624,1.2648,1.261,1.2626
2024-03-31,1.2638,1.2644,1.2541,1.2637
2024-04-01,1.2548,1.2579,1.2541,1.2545
2024-04-02,1.2577,1.2636,1.2564,1.2577
2024-04-03,1.2654,1.2682,1.2645,1.2652
2024-04-04,1.264,1.265,1.2576,1.264
2024-04-07,1.2626,1.2656,1.2614,1.2625
2024-04-08,1.266,1.2709,1.265,1.2659
2024-04-09,1.2678,1.2705,1.2535,1.2678
2024-04-10,1.2537,1.2578,1.2512,1.2538
2024-04-11,1.2556,1.2559,1.2429,1.2555
2024-04-14,1.246,1.2498,1.2444,1.2462
2024-04-15,1.2447,1.2473,1.2411,1.2447
2024-04-16,1.2431,1.2482,1.2418,1.2431
2024-04-17,1.2454,1.2485,1.2438,1.2454
2024-04-18,1.2436,1.2469,1.2392,1.2438
2024-04-21,1.2376,1.2393,1.2301,1.2376
2024-04-22,1.235,1.2458,1.2333,1.235
2024-04-23,1.2455,1.2467,1.2424,1.2453
2024-04-24,1.246,1.2523,1.2456,1.246
2024-04-25,1.2508,1.2542,1.2451,1.2509
2024-04-28,1.2511,1.2555,1.2508,1.251
2024-04-29,1.256,1.2563,1.2506,1.256
2024-04-30,1.2489,1.2498,1.2468,1.249
2024-05-01,1.2537,1.2547,1.2473,1.2539
2024-05-02,1.254,1.2629,1.253,1.2541
2024-05-05,1.2541,1.2594,1.2539,1.2541
2024-05-06,1.256,1.257,1.2532,1.256
2024-05-07,1.2503,1.2506,1.2467,1.2501
2024-05-08,1.2494,1.2521,1.2449,1.2493
2024-05-09,1.2525,1.2542,1.2504,1.2526
2024-05-12,1.2523,1.2569,1.2519,1.2523
2024-05-13,1.256,1.2593,1.2512,1.2562
2024-05-14,1.2585,1.2671,1.2585,1.2585
2024-05-15,1.2689,1.2701,1.2645,1.269
2024-05-16,1.2673,1.2709,1.2645,1.2672
2024-05-19,1.2708,1.2713,1.2691,1.2706
2024-05-20,1.2711,1.2727,1.2693,1.2711
2024-05-21,1.271,1.2761,1.2701,1.2711
2024-05-22,1.2721,1.2747,1.2706,1.2721
2024-05-23,1.2694,1.2751,1.2683,1.2694
2024-05-26,1.2734,1.2779,1.2734,1.2736
2024-05-27,1.2773,1.28,1.2763,1.2772
2024-05-28,1.276,1.2772,1.2707,1.2758
2024-05-29,1.2698,1.2748,1.2682,1.2698
2024-05-30,1.273,1.2766,1.2702,1.273
2024-06-02,1.2744,1.2794,1.2696,1.2744
2024-06-03,1.281,1.2817,1.2744,1.281
2024-06-04,1.2773,1.2795,1.2758,1.2773
2024-06-05,1.2794,1.2811,1.2766,1.2795
2024-06-06,1.2794,1.2811,1.2717,1.2793
2024-06-09,1.2729,1.2732,1.2689,1.2729
2024-06-10,1.2726,1.2749,1.2708,1.2726
2024-06-11,1.2738,1.286,1.2734,1.274
2024-06-12,1.2797,1.2806,1.2753,1.2796
2024-06-13,1.2754,1.2765,1.2658,1.2755
2024-06-16,1.2684,1.2691,1.266,1.2683
2024-06-17,1.2714,1.272,1.2669,1.2716
2024-06-18,1.2708,1.274,1.2702,1.2707
2024-06-19,1.2721,1.2721,1.2667,1.2722
2024-06-20,1.266,1.267,1.2626,1.266
2024-06-23,1.264,1.2698,1.2634,1.2639
2024-06-24,1.2683,1.2702,1.2672,1.2683
2024-06-25,1.2685,1.2692,1.2621,1.2684
2024-06-26,1.2621,1.2669,1.2614,1.2622
2024-06-27,1.2644,1.2662,1.262,1.2646
2024-06-30,1.265,1.2695,1.2637,1.2649
2024-07-01,1.2646,1.2685,1.2616,1.2646
2024-07-02,1.2688,1.2777,1.2679,1.269
2024-07-03,1.2748,1.2767,1.274,1.2748
2024-07-04,1.2756,1.2814,1.2756,1.2756
2024-07-07,1.2807,1.2847,1.2802,1.2807
2024-07-08,1.2815,1.2825,1.2779,1.2816
2024-07-09,1.2789,1.2848,1.2785,1.2788
2024-07-10,1.2854,1.2949,1.285,1.2853
2024-07-11,1.2925,1.2992,1.2903,1.2924
2024-07-14,1.2968,1.2995,1.2963,1.2967
2024-07-15,1.297,1.298,1.294,1.297
2024-07-16,1.2978,1.3045,1.2967,1.2978
2024-07-17,1.3009,1.3013,1.297,1.3007
2024-07-18,1.295,1.295,1.2902,1.2952
2024-07-21,1.2932,1.2941,1.2907,1.2933
2024-07-22,1.2933,1.2935,1.2889,1.2932
2024-07-23,1.2903,1.2938,1.2878,1.2902
2024-07-24,1.2898,1.2913,1.2863,1.29
2024-07-25,1.2856,1.2875,1.285,1.2857
2024-07-28,1.2867,1.2888,1.2807,1.2868
2024-07-29,1.2858,1.2865,1.2821,1.286
2024-07-30,1.2838,1.2854,1.2822,1.2837
2024-07-31,1.2853,1.2862,1.2756,1.2853
2024-08-01,1.2728,1.284,1.2709,1.2729
2024-08-04,1.2788,1.2816,1.2711,1.2788
2024-08-05,1.2788,1.2802,1.2673,1.2789
2024-08-06,1.2683,1.2736,1.2683,1.2685
2024-08-07,1.2685,1.2742,1.2666,1.268
2024-08-08,1.2746,1.2774,1.2727,1.2747
2024-08-11,1.275,1.2795,1.2749,1.275
2024-08-12,1.2772,1.2836,1.2765,1.2771
2024-08-13,1.2866,1.2869,1.2824,1.2867
2024-08-14,1.2825,1.2871,1.28,1.2829
2024-08-15,1.286,1.2915,1.2858,1.2859
2024-08-18,1.2948,1.2997,1.2942,1.2947
2024-08-19,1.299,1.3044,1.2976,1.299
2024-08-20,1.3035,1.3079,1.3012,1.3035
2024-08-21,1.3093,1.3129,1.3082,1.3093
2024-08-22,1.3098,1.323,1.3093,1.3098
2024-08-25,1.3215,1.3222,1.3183,1.3213
2024-08-26,1.3192,1.3246,1.3181,1.3192
2024-08-27,1.3256,1.3263,1.3193,1.3258
2024-08-28,1.3195,1.3227,1.3147,1.3194
2024-08-29,1.3165,1.3201,1.3126,1.3166
2024-09-01,1.3131,1.3154,1.3121,1.3129
2024-09-02,1.3141,1.3148,1.309,1.3142
2024-09-03,1.3114,1.3175,1.3102,1.3114
2024-09-04,1.3145,1.3188,1.3139,1.3145
2024-09-05,1.3177,1.3234,1.313,1.3177
2024-09-08,1.3132,1.3144,1.3072,1.3133
2024-09-09,1.307,1.3108,1.305,1.3071
2024-09-10,1.3082,1.3112,1.3003,1.308
2024-09-11,1.3039,1.3084,1.3033,1.304
2024-09-12,1.3133,1.3157,1.3116,1.3132
2024-09-15,1.3136,1.3214,1.3136,1.3138
2024-09-16,1.3211,1.323,1.316,1.3211
2024-09-17,1.3168,1.3253,1.3156,1.3167
2024-09-18,1.3203,1.3312,1.3155,1.3201
2024-09-19,1.3283,1.3341,1.3271,1.3282
2024-09-22,1.3313,1.336,1.3251,1.3314
2024-09-23,1.335,1.3399,1.3333,1.335
2024-09-24,1.3427,1.343,1.3337,1.3427
2024-09-25,1.3315,1.3433,1.3314,1.3316
2024-09-26,1.3412,1.3428,1.3362,1.3414
2024-09-29,1.3383,1.3425,1.3363,1.3383
2024-09-30,1.3378,1.339,1.3265,1.3376
2024-10-01,1.3275,1.3305,1.3249,1.3274
2024-10-02,1.3263,1.3265,1.3094,1.3266
2024-10-03,1.313,1.3175,1.3073,1.313
2024-10-07,1.3086,1.3114,1.3065,1.3085
2024-10-08,1.3084,1.3105,1.3058,1.3093